,Sentence
4439,black grey stormy is not black but dark blue
6801,shoe broke is less than weeks
6041,sliced my heel but i think i have a plan
1745,i good lightweight high quality shoe
5519,amazing shoes
6601,i miss champion gusto
109,love and will be buying more
963,runs just a little large
6406,good shoes but not for swollen feet
1211,i love these shoes
178,unfortunately they didn’t work out for me
451,love them light weight and great support
3398,puma
2243,top of the heal
6131,great price for quality but would like a thinner size
6013,trusted brand
1266,comfortable and supportive
6340,thumbnails dont match
6540,okay shoe
2555,perfect fit
8011,runs small
8192,awesome shoes
7768,worth it
824,it is not a good option for walking because the quality of the sole is bad
902,uncomfortable and unsupportive
6391,great shoes
8318,not good shoes
1447,i love under armor
6738,miles walking on concrete and falling apart
88,for light walking
7988,good shoe
7684,two stars
4817,
3745,great puma style
7848,comfortable and great value
3594,i have a couple of years on most and they feel great
4350,a great shoe for neutral runners
5487,love this shoe
5008,used shoes
545,not worth it
2204,it is scratching my ankles
1536,la planta del zapato era de otro material y no de plástico como entregaron
2895,really narrow
5230,the shoes you’re looking for
149,great shoes
3973,the tongue sucks
2743,very good materials manufacturing
6343,super comfy
1641,used cuts heel look elsewhere
3989,very tight toe and loose heel
552,no padding and the tongue rubs your ankle
2249,not a good idea too get
119,love all day i dream
630,narrow toe box
4123,ok
5781,not good for working warehouse
3322,loose stitching
6341,very light weighted
7662,it was wrong shoes and size we ordered men s
4633,fit was just fine
2117,great product
7261,great shoes
2774,comfortable and cute
1900,phenomenal comfort
3261,good quality shoe
8265,caveat emptor feel terrible on my feet what the heck happened
1106,light and comfortable
1989,price
3471,fine all purpose athletic shoe
8472,black on black nope
7838,good shoe just not for me
5971,narrow uncomfortable
5635,holes in toe area less than two months after purchase
6704,does not provide any support for over pronation feet
745,sized inaccurate
2746,comfort is very good
3749,lo recomiendo
6502,comfy but not very durable
7467,i love these ❤️
4440,great running shoe
185,love these so much
8542,great except for toe stitch comes loose
897,runs big
8649,not for me
6430,order size larger than you normally do
4685,comfortable
2907,disappointed in the gel liner
1414,my son loved them
8209,unhappy times ☹☹☹☹☹
7273,great quality
4576,great for walk runing
664,makes my knees and ankles hurt
4489,all sport shoes are not created equal
466,these shoes are very comfortable love to look
4932,falling apart after weeks
399,my favorite sport shoes
91,best shoes ever
1948,for extra wide feet
383,comfortable go to sneaker
5488,perfect fit
7694,one star
4346,comfortable to a fault
4699,comfortable perfect fit
3645,good shoes but
6771,no good
3546,classy dress sneaker
5058,doesn’t ft high enough on heel
2823,great shoe
3620,worth it
4597,ghost good shoe
531,the worst shoe i have ever owned
2891,good but a little tight
5976,replacement foe a bigger size
7843,cheapest shoe very nice
5019,very comfortable but sole is not that durable
4875,great shoe but already falling apart
7089,nike
5064,they’re ok
6705,fit fine look good but squeak on carpet even days after getting wet
7019,good nike running shoe overall
4751,fit perfectly and like walking on air
1725,great walking everyday use shoe
7486,not for wide feet
2531,fits like a dream
8533,nice looking shoes
7745,fits like a glove
3636,good
1804,great fit
1409,good shoe
5841,already worn shoes
2562,my asics are my new favorite running shoes
4460,great shoe
5402,adorable
4811,probably the most comfortable shoe i’ve had
5175,these are my absolute favorite pair of sneakers
1177,runs small
1113,son hermosas
8552,not wide as they said they were
5067,the end of an era
8422,be careful
5458,nice shoe
478,cute
964,super cute but hurt my feet
6921,expected better
7371,beautiful shoes
8364,walmart knockoff
5227,order your usual size
308,here’s a good review and an honest one
949,narrow
1842,great wide fit shoes
5054,order right size
5235,great looking and true to size but snug
5596,didn t last months
7649,keep getting wrong size
8017,may have to order a half size larger
2730,asics running shoes
3030,horrible customer service
7306,love these shoes
7686,one star
2926,should have known better
3537,super shoes look great
7863,great tennis shoes
7613,comfortable to wear
3623,nice comfortable shoes
50,more athleisure than athletic
2649,love these shoes
7227,comfortable multi purpose shoes
1067,comfortable shoe size issues
6458,comfortable and lightweight
8073,good shoes short life span
2424,run small bad insoles for extended walks nice colors though
1303,good overall shoe
8104,love asics
5037,disappointing purchase
6700,too small
5095,obsessed
6436,súper precio
1146,we got best shoes at affordable price
5594,holes in the mesh after a couple months of light use
1191,great fit
2339,too narrow
1593,poor quality
4249,no los compren
8189,good fit value and style
7642,too small
4604,excellent sneakers for casual runners
359,love these shoes
2852,great product
6152,very comfortable sneakers
3857,a change for the worse
2717,walking running on gravel is a breeze now
1083,very comfy shoes
1317,perfect fit
2948,toe coming apart
7997,nice shoes
4216,won t be buying any pumas in the future
3276,not ideal for standing long periods
3204,fits is small
1396,bengals
5655,uncomfortable sneakers
3205,they pretty
5045,defective
8413,sent wrong color
6564,terrible for comfort all day
2901,horrible
1768,great wide sized shoe
1678,perfect for daily walkers with wide feet
1619,fraude
2198,new balance failed in designing
2625,comfortable supportive fit well
6495,true to size and comfortable
8681,poor quality
2183,after about months heel started to come unglued
6093,expected better life from this shoe
3425,very nice shoe and good value
4865,what even are these
5166,slightly small but great look
1342,great shoe for walking long distances
6874,came used
5036,used not new
4028,shoe
3401,puma style on point
3083,slightly smaller than usual
6852,sizing was wrong full payment not refunded
292,great for working out or every day shoes
4312,bad support
6739,comfortable and supportive but annoying
5511,best shoes out there
398,order size smaller
6646,wide fit is great
96,definitely not a running shoe
590,not for running
4673,good jogging shoes for getting back to jogging
6707,too narrow
2532,great for walking
5125,great styling comfort
5504,love the shoes but back of heals different color
3700,ok shoes for the price
5762,just ok
427,so comfy definitely buying again
2545,asics comfortable
8019,great for heavier runners
5685,useful only for shopping
5744,beautiful shoes
1483,poor quality control
4491,my doctor recommended them for my flat feet i don t love them
4971,upper material changed
1131,very impressed satisfied
4861,poor quality
7460,nice shies
625,uncomfortable
3772,great fit
1458,great shoes
1886,new balance shoes just as ordered
781,does not fit like like my first pair
7439,great shoe
5951,very cute but run big
6577,sole fell apart within months
371,comfort and cool looking
5003,rip
3096,bought as a gift defective shoes return window closed
5267,cute comfy a little loose
8394,fit and comfort is fine but colors are different
5653,something is off
2534,not quite as much cushion as expected
1721,very solid shoes
5451,most comfortable shoes
5449,awesome
5443,my year old daughter loves it she said it’s comfy
7924,good solid all purpose shoe
1246,comfortable for hrs
7761,great shoe
2565,a little tight on top
721,too big and narrower for my size foot
7993,they seem fine
5354,they fit a little tight at first
3414,great shoes
5294,comfortable and good looking
5935,stained
1076,good for me
6706,might be great for narrow feet
5510,cloud walking
3241,not true to size
240,great workout sneaker
354,not for working out perfect for hr shifts
2801,asics rock
886,cute but memory foam is weird
1165,my dad loved them
8286,why scrimp on material to cover the foot
6890,cheap material you get what you pay for not worth the cost savings
1686,excellent shoe great value
1426,my go to shoes
4415,the best shoes ever
6062,super comfortable walks easy durable build
382,these are amazing it s very difficult for me to buy shoes
3639,nice shoes
820,decent walking shoes
4940,not good for high arch
5842,shoes are unwearable
708,not cloudfoam
2757,great sneakers color is off from the picture
3741,muy bueno
8547,hurts my feet
1301,good comfort
2795,good fit very stiff
6048,great fit
1005,fits perfectly
7999,very comfortable and good looking
3614,good product
4107,fit
7456,our year old girl loves this shoe fits well sized perfectly
8573,falling apart
7687,three stars
3902,
4011,decent sneaker a little narrow
3248,not for exercise
7859,great walking rucking shoe so far
788,light breathable fits great not enough bottom support
6910,definitely buy half size bigger trust me
